Year,Dates,Documents,Links,StartDate,EndDate,DummyMeeting,Name,Group,Class,Size,FileType,Comments
1939,March 20 Meeting - 1939,"Historical Minutes (293 KB PDF)",/monetarypolicy/files/FOMChistmin19390320.pdf,20-Mar-1939,20-Mar-1939,1,Historical Minutes,Minutes,Meeting Summary,293 KB ,PDF,""
1939,March 20 Meeting - 1939,"Intermeeting Executive Committee Minutes:March 13, 1939 (385 KB PDF)",/monetarypolicy/files/FOMChminec119390313.pdf,20-Mar-1939,20-Mar-1939,1,IMECM,Minutes,Meeting Summary,385 KB ,PDF,""
1939,March 20 Meeting - 1939,"Intermeeting Executive Committee Minutes:March 20, 1939 (115 KB PDF)",/monetarypolicy/files/FOMChminec119390320.pdf,20-Mar-1939,20-Mar-1939,1,IMECM,Minutes,Meeting Summary,115 KB ,PDF,""
1939,April 19 Meeting - 1939,"Record of Policy Actions (279 KB PDF)",/monetarypolicy/files/fomcropa19390419.pdf,19-Apr-1939,19-Apr-1939,1,Record of Policy Actions,Minutes,Meeting Summary,279 KB ,PDF,""
1939,April 19 Meeting - 1939,"Historical Minutes (369 KB PDF)",/monetarypolicy/files/FOMChistmin19390419.pdf,19-Apr-1939,19-Apr-1939,1,Historical Minutes,Minutes,Meeting Summary,369 KB ,PDF,""
1939,April 19 Meeting - 1939,"Intermeeting Executive Committee Minutes:April 13-14, 1939 (534 KB PDF)",/monetarypolicy/files/FOMChminec119390414.pdf,19-Apr-1939,19-Apr-1939,1,IMECM,Minutes,Meeting Summary,534 KB ,PDF,""
1939,April 19 Meeting - 1939,"Intermeeting Executive Committee Minutes:April 19, 1939 (128 KB PDF)",/monetarypolicy/files/FOMChminec119390419.pdf,19-Apr-1939,19-Apr-1939,1,IMECM,Minutes,Meeting Summary,128 KB ,PDF,""
1939,June 20-21 Meeting - 1939,"Record of Policy Actions (282 KB PDF)",/monetarypolicy/files/fomcropa19390621.pdf,20-Jun-1939,21-Jun-1939,1,Record of Policy Actions,Minutes,Meeting Summary,282 KB ,PDF,""
1939,June 20-21 Meeting - 1939,"Historical Minutes (554 KB PDF)",/monetarypolicy/files/FOMChistmin19390621.pdf,20-Jun-1939,21-Jun-1939,1,Historical Minutes,Minutes,Meeting Summary,554 KB ,PDF,""
1939,June 20-21 Meeting - 1939,"Intermeeting Executive Committee Minutes:June 20-21, 1939 (162 KB PDF)",/monetarypolicy/files/FOMChminec119390621.pdf,20-Jun-1939,21-Jun-1939,1,IMECM,Minutes,Meeting Summary,162 KB ,PDF,""
