,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year
74,1997-05-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,1997
75,1997-07-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1997
76,1997-08-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,1997
77,1997-09-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,1997
78,1997-11-12,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,1997
79,1997-12-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12,1997
80,1998-02-04,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1998
81,1998-03-31,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,1998
82,1998-05-19,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,1998
83,1998-07-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,1998
84,1998-08-18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8,1998
85,1998-09-29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,1998
86,1998-11-17,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11,1998
87,1998-12-22,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12,1998
88,1999-02-03,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,1999
89,1999-03-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1999
90,1999-05-18,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,1999
91,1999-06-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6,1999
92,1999-08-24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,1999
93,1999-10-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,1999
94,1999-11-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,1999
95,1999-12-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12,1999
96,2000-02-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,2000
97,2000-03-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,2000
98,2000-05-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,2000
99,2000-06-28,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6,2000
100,2000-08-22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,2000
101,2000-10-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,2000
102,2000-11-15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11,2000
103,2000-12-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12,2000
104,2001-01-31,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2001
105,2001-03-20,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2001
106,2001-05-15,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,2001
107,2001-06-27,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6,2001
108,2001-08-21,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8,2001
109,2001-10-02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,2001
110,2001-11-06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2001
111,2001-12-11,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2001
112,2002-01-30,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2002
113,2002-03-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,2002
114,2002-05-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,2002
115,2002-06-26,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6,2002
116,2002-08-13,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,2002
117,2002-09-24,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9,2002
118,2002-11-06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11,2002
119,2002-12-10,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12,2002
120,2003-01-29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2003
121,2003-03-18,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2003
122,2003-05-06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,2003
123,2003-06-25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6,2003
124,2003-08-12,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,2003
125,2003-09-16,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,2003
126,2003-10-28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10,2003
127,2003-12-09,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12,2003
128,2004-01-28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2004
129,2004-03-16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2004
130,2004-05-04,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5,2004
131,2004-06-30,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6,2004
132,2004-08-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8,2004
133,2004-09-21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,2004
134,2004-11-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,2004
135,2004-12-14,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12,2004
136,2005-02-02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2,2005
137,2005-03-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,2005
138,2005-05-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,2005
139,2005-06-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,2005
140,2005-08-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8,2005
141,2005-09-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,2005
