DEAJKoldbal_m050,DEAJKoldbal_m025,DEAJKoldbal_0,DEAJKoldbal_025,DEAJKoldbal_050,PCEHbal_m050,PCEHbal_m025,PCEHbal_0,PCEHbal_025,PCEHbal_050,PCEH1bal_m050,PCEH1bal_m025,PCEH1bal_0,PCEH1bal_025,PCEH1bal_050,UNRATEbal_m050,UNRATEbal_m025,UNRATEbal_0,UNRATEbal_025,UNRATEbal_050,UNRATE1bal_m050,UNRATE1bal_m025,UNRATE1bal_0,UNRATE1bal_025,UNRATE1bal_050,rbal_m050,rbal_m025,rbal_0,rbal_025,rbal_050,LastChangebal_m050,LastChangebal_m025,LastChangebal_0,LastChangebal_025,LastChangebal_050
,,-.11046782,,,,,.14900303,,,,,.16099459,,,,,-.077265233,,,,,0,,,,,1.3521415,,,,,0,,
,,-.074302211,,,,,.13241813,,,,,.15083045,,,,,0,,,,,-.078212835,,,,,1.3687246,,,,,0,,
-.23449454,,,,,.15259159,,,,,.13948685,,,,,0,,,,,0,,,,,1.4417897,,,,,0,,,,
,,-.043039504,,,,,.26922226,,,,,.50749004,,,,,.54801297,,,,,0,,,,,3.425081,,,,,-1.3700324,,
,,-.038817726,,,,,.060239464,,,,,.074274085,,,,,.075593978,,,,,.15118796,,,,,.94492471,,,,,0,,
,,-.01889837,,,,,.2494759,,,,,.075298905,,,,,-.18898387,,,,,.094491936,,,,,1.1811492,,,,,0,,
,,-.084421784,,,,,.31023765,,,,,.2002358,,,,,.075841665,,,,,-.15168333,,,,,.94802082,,,,,0,,
,,-.042747546,,,,,.19049299,,,,,.31793293,,,,,0,,,,,.077722885,,,,,.97153604,,,,,0,,
,,-.052629419,,,,,-.12716945,,,,,.18394968,,,,,.075053155,,,,,0,,,,,.93816441,,,,,0,,
,-.14691092,,,,,-.035293851,,,,,-.051644012,,,,,.030479381,,,,,.030479381,,,,,.38099226,,,,,0,,,
,,-.0041825171,,,,,.091112554,,,,,-.096863702,,,,,.16730087,,,,,.083650433,,,,,.83650428,,,,,-.20912607,,
,,.00059509551,,,,,.24101947,,,,,.097204603,,,,,-.089243531,,,,,.17848706,,,,,.89243537,,,,,0,,
,,-.036954351,,,,,.23953299,,,,,.20467763,,,,,-.075787053,,,,,-.075787053,,,,,.7578705,,,,,0,,
