ffed,pceh,ip,unrate,date,TargetChange,DEAJKold,r,LastChange,LastCFOMC,Scale,FOMCMeetings,DY2K,D911,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,PCEH,UNRATE,PCEH1,UNRATE1,Crisis,DEAJKoldXCrisis
5.2399998,77.852997,74.5,5.5999999,31may1996,0,-.062764481,5.25,0,0,3.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.2950823925694408,.0999999999999996,.2972500120864652,0,0,0
5.27,77.852997,75.199997,5.3000002,30jun1996,0,.050000191,5.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.1709808673760449,0,.2950823925694408,.0999999999999996,0,0
5.4000001,78.018997,75.099998,5.5,31jul1996,0,-.021586379,5.25,0,0,1.107142857142857,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.2999999999999998,.1709808673760449,0,0,0
5.2199998,78.095001,75.599998,5.0999999,31aug1996,0,.02618894,5.25,0,0,2.818181818181818,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.2129953587016757,.2000000000000002,0,-.2999999999999998,0,0
5.3000002,78.308998,76,5.1999998,30sep1996,0,-.004893144,5.25,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.0973647539669287,-.4000000000000004,.2129953587016757,.2000000000000002,0,0
5.2399998,78.542999,76,5.1999998,31oct1996,0,.03000021,5.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.2736504610420525,.1000000000000005,.0973647539669287,-.4000000000000004,0,0
5.3099999,78.688004,76.599998,5.4000001,30nov1996,0,-.00046708,5.25,0,0,1.764705882352941,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.2983706597287892,0,.2736504610420525,.1000000000000005,0,0
5.29,78.778999,77.099998,5.4000001,31dec1996,0,.1116486,5.25,0,0,2.214285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.1844420516387686,.2000000000000002,.2983706597287892,0,0,0
5.25,78.879997,77.199997,5.3000002,31jan1997,0,.11000013,5.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1155797851363332,0,.1844420516387686,.2000000000000002,0,0
5.1900001,79.043999,78.099998,5.1999998,28feb1997,0,.037959781,5.25,0,0,1.217391304347826,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.1281246409234313,-.1000000000000005,.1155797851363332,0,0,0
5.3899999,79.125,78.699997,5.1999998,31mar1997,.25,.10602365,5.25,0,0,5.166666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.2076949152175871,-.0999999999999996,.1281246409234313,-.1000000000000005,0,0
5.5100002,79.198997,78.800003,5.0999999,30apr1997,0,0,5.5,.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.1024221017784726,0,.2076949152175871,-.0999999999999996,0,0
5.5,79.167999,79.300003,4.9000001,31may1997,0,.043828923,5.5,0,0,2.818181818181818,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.0934792013702008,-.1000000000000005,.1024221017784726,0,0,0
5.5599999,79.266998,79.699997,5,30jun1997,0,.03000021,5.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.0391495708018965,-.1999999999999993,.0934792013702008,-.1000000000000005,0,0
