year,event_type,multi_day,start_month,start_day,end_month,end_day,Beige Book,Tealbook A,Tealbook B,Agenda,Statement,2013 Memos,Minutes,Transcript,Presentation materials,Press Conference,SEP: Individual Projections,Greenbook,Bluebook,Record of Policy Actions,Minutes of Actions,multi-day,Redbook,Staff statements,,"Historical Minutes, 10:30 a.m.","Historical Minutes, 2:45 p.m.",Intermeeting Executive Committee Minutes,Historical Minutes,Supplement,Memoranda of Discussion,Supplement 2,Accessible version,2003 Memos,Accessible material,SEP: Participant Key,Greenbook and Bluebook accessible materials,2009 Memos,2010 Memos,Tealbook accessible materials,2011 Memos,2012 Memos,2008 Memos
1991,Meeting,,August,20,August,20,"['/monetarypolicy/files/fomc19910820beige19910807.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19910820Agenda.pdf,,,,/monetarypolicy/files/FOMC19910820meeting.pdf,/monetarypolicy/files/FOMC19910820material.pdf,,,"['/monetarypolicy/files/fomc19910820gbpt119910814.pdf', '/monetarypolicy/files/fomc19910820gbpt219910814.pdf', '/monetarypolicy/files/fomc19910820gbsup19910816.pdf']",/monetarypolicy/files/fomc19910820bluebook19910816.pdf,/monetarypolicy/files/fomcropa19910820.pdf,/monetarypolicy/files/fomcmoa19910820.pdf,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,September,13,September,13,,,,,,,,/monetarypolicy/files/FOMC19910913confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,,October,1,October,1,"['/monetarypolicy/files/fomc19911001beige19910918.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19911001Agenda.pdf,,,,/monetarypolicy/files/FOMC19911001meeting.pdf,/monetarypolicy/files/FOMC19911001material.pdf,,,"['/monetarypolicy/files/fomc19911001gbpt119910925.pdf', '/monetarypolicy/files/fomc19911001gbpt219910925.pdf', '/monetarypolicy/files/fomc19911001gbsup19910927.pdf']",/monetarypolicy/files/fomc19911001bluebook19910927.pdf,/monetarypolicy/files/fomcropa19911001.pdf,/monetarypolicy/files/fomcmoa19911001.pdf,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,October,30,October,30,,,,,,,,/monetarypolicy/files/FOMC19911030confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,,November,5,November,5,"['/monetarypolicy/files/fomc19911105beige19911023.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19911105Agenda.pdf,,,,/monetarypolicy/files/FOMC19911105meeting.pdf,/monetarypolicy/files/FOMC19911105material.pdf,,,"['/monetarypolicy/files/fomc19911105gbpt119911030.pdf', '/monetarypolicy/files/fomc19911105gbpt219911030.pdf', '/monetarypolicy/files/fomc19911105gbsup19911101.pdf']",/monetarypolicy/files/fomc19911105bluebook19911101.pdf,/monetarypolicy/files/fomcropa19911105.pdf,/monetarypolicy/files/fomcmoa19911105.pdf,0,,,,,,,,,,,,,,,,,,,,,
1991,Conference Call,,December,2,December,2,,,,,,,,/monetarypolicy/files/FOMC19911202confcall.pdf,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1991,Meeting,,December,17,December,17,"['/monetarypolicy/files/fomc19911217beige19911204.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19911217Agenda.pdf,,,,/monetarypolicy/files/FOMC19911217meeting.pdf,/monetarypolicy/files/FOMC19911217material.pdf,,,"['/monetarypolicy/files/fomc19911217gbpt119911211.pdf', '/monetarypolicy/files/fomc19911217gbpt219911211.pdf', '/monetarypolicy/files/fomc19911217gbsup19911213.pdf']",/monetarypolicy/files/fomc19911217bluebook19911213.pdf,/monetarypolicy/files/fomcropa19911217.pdf,/monetarypolicy/files/fomcmoa19911217.pdf,0,,,,,,,,,,,,,,,,,,,,,
1988,Conference Call,,January,5,January,5,,,,,,,,/monetarypolicy/files/FOMC19880105confcall.pdf,,,,,,"see December 15-16, 1987Record",/monetarypolicy/files/fomcmoa19880105.pdf,0,,,,,,,,,,,,,,,,,,,,,
1988,Meeting,1,February,9,February,10,"['/monetarypolicy/files/fomc19880210beige19880127.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19880210Agenda.pdf,,,,/monetarypolicy/files/FOMC19880210meeting.pdf,/monetarypolicy/files/FOMC19880210material.pdf,,,"['/monetarypolicy/files/fomc19880210gbpt119880203.pdf', '/monetarypolicy/files/fomc19880210gbpt219880203.pdf', '/monetarypolicy/files/fomc19880210gbsup19880205.pdf']",/monetarypolicy/files/fomc19880210bluebook19880205.pdf,/monetarypolicy/files/fomcropa19880210.pdf,/monetarypolicy/files/fomcmoa19880210.pdf,,,,,,,,,,,,,,,,,,,,,,
1988,Meeting,,March,29,March,29,"['/monetarypolicy/files/fomc19880329beige19880315.pdf', 'http://www.minneapolisfed.org/bb/']",,,/monetarypolicy/files/FOMC19880329Agenda.pdf,,,,/monetarypolicy/files/FOMC19880329meeting.pdf,/monetarypolicy/files/FOMC19880329material.pdf,,,"['/monetarypolicy/files/fomc19880329gbpt119880323.pdf', '/monetarypolicy/files/fomc19880329gbpt219880323.pdf', '/monetarypolicy/files/fomc19880329gbsup19880325.pdf']",/monetarypolicy/files/fomc19880329bluebook19880325.pdf,/monetarypolicy/files/fomcropa19880329.pdf,/monetarypolicy/files/fomcmoa19880329.pdf,0,,,,,,,,,,,,,,,,,,,,,
