DATE,INDPRO_PC1
2003-12-01,1.88583
2004-01-01,1.37359
2004-02-01,1.84294
2004-03-01,1.57144
2004-04-01,2.76450
2004-05-01,3.55004
2004-06-01,2.52478
2004-07-01,2.86179
2004-08-01,3.08464
2004-09-01,2.56774
2004-10-01,3.39833
2004-11-01,2.82291
2004-12-01,3.65315
2005-01-01,3.86506
2005-02-01,3.94964
2005-03-01,4.30349
2005-04-01,4.00979
2005-05-01,3.32657
2005-06-01,4.58506
2005-07-01,3.45729
2005-08-01,3.66561
2005-09-01,1.64493
2005-10-01,1.95618
2005-11-01,2.77410
2005-12-01,2.65621
2006-01-01,2.30623
2006-02-01,1.61164
2006-03-01,1.98276
2006-04-01,2.21959
2006-05-01,1.98357
2006-06-01,1.98429
2006-07-01,2.27021
2006-08-01,2.39055
2006-09-01,4.12662
2006-10-01,2.77088
2006-11-01,1.64192
2006-12-01,2.06600
2007-01-01,1.41556
2007-02-01,2.43354
2007-03-01,2.44581
2007-04-01,2.75380
2007-05-01,2.90729
2007-06-01,2.54233
2007-07-01,2.54170
2007-08-01,2.36767
2007-09-01,2.97272
2007-10-01,2.59663
2007-11-01,3.30003
2007-12-01,2.24839
2008-01-01,2.50612
2008-02-01,1.14270
2008-03-01,0.68384
2008-04-01,-0.77621
2008-05-01,-1.38321
2008-06-01,-1.64228
2008-07-01,-2.12633
2008-08-01,-3.83779
2008-09-01,-8.36288
2008-10-01,-7.09903
2008-11-01,-8.80373
2008-12-01,-11.47992
2009-01-01,-13.34889
2009-02-01,-13.61788
2009-03-01,-14.78591
2009-04-01,-14.82082
2009-05-01,-15.20163
2009-06-01,-15.33412
2009-07-01,-13.94709
2009-08-01,-11.63078
2009-09-01,-6.92564
2009-10-01,-7.50746
2009-11-01,-5.95770
2009-12-01,-2.82986
2010-01-01,0.68862
2010-02-01,1.70680
2010-03-01,4.02546
2010-04-01,5.25222
2010-05-01,7.87526
2010-06-01,8.45888
2010-07-01,7.74863
2010-08-01,6.88145
2010-09-01,6.32282
2010-10-01,5.70262
2010-11-01,5.31429
2010-12-01,6.01093
2011-01-01,4.66071
2011-02-01,3.82786
2011-03-01,4.17390
2011-04-01,3.41616
2011-05-01,2.16119
2011-06-01,2.30380
2011-07-01,2.39907
2011-08-01,2.65732
2011-09-01,2.39682
2011-10-01,3.37637
2011-11-01,3.26367
2011-12-01,2.83958
2012-01-01,3.60249
2012-02-01,4.29763
2012-03-01,2.78943
2012-04-01,3.93461
2012-05-01,3.89744
2012-06-01,3.57852
2012-07-01,3.30096
2012-08-01,2.23490
2012-09-01,2.30979
2012-10-01,1.82512
2012-11-01,2.39792
2012-12-01,2.19319
2013-01-01,1.43663
2013-02-01,1.78598
2013-03-01,2.67893
2013-04-01,1.73753
2013-05-01,1.65367
2013-06-01,1.88073
2013-07-01,1.18104
2013-08-01,2.33807
2013-09-01,2.81478
2013-10-01,2.41758
2013-11-01,2.22547
2013-12-01,2.17544
2014-01-01,1.88573
2014-02-01,2.16194
2014-03-01,2.72808
2014-04-01,2.95239
2014-05-01,3.21148
2014-06-01,3.38699
2014-07-01,4.03397
2014-08-01,3.23699
2014-09-01,3.01489
