DATE,PCE_PCH
3/1/91,1.1974
4/1/91,-0.15078
5/1/91,0.66801
6/1/91,0.1856
7/1/91,0.64713
8/1/91,0.07816
9/1/91,0.39304
10/1/91,-0.21834
11/1/91,0.69416
12/1/91,0.42212
1/1/92,1.59682
2/1/92,0.36233
3/1/92,0.42688
4/1/92,0.3522
5/1/92,0.6511
6/1/92,0.44969
7/1/92,0.66314
8/1/92,0.3829
9/1/92,0.81499
10/1/92,0.6909
11/1/92,0.36875
12/1/92,0.83479
1/1/93,0.09916
2/1/93,0.33635
3/1/93,-0.06429
4/1/93,0.93969
5/1/93,0.66008
6/1/93,0.39797
7/1/93,0.6509
8/1/93,0.273
9/1/93,0.6784
10/1/93,0.47213
11/1/93,0.46991
12/1/93,0.37329
1/1/94,0.30627
2/1/94,1.03596
3/1/94,0.28925
4/1/94,0.54025
5/1/94,-0.03425
6/1/94,0.84377
7/1/94,0.24847
8/1/94,0.88972
9/1/94,0.26036
10/1/94,0.79372
11/1/94,0.26387
12/1/94,0.33156
1/1/95,0.19828
2/1/95,-0.00825
3/1/95,0.71328
4/1/95,0.09825
5/1/95,0.87726
6/1/95,0.90004
7/1/95,-0.14666
8/1/95,0.70621
9/1/95,0.30368
10/1/95,-0.13146
11/1/95,0.83169
12/1/95,0.82878
1/1/96,-0.23149
2/1/96,0.92613
3/1/96,0.78904
4/1/96,0.67075
5/1/96,0.30338
6/1/96,0.11486
7/1/96,0.42258
8/1/96,0.43984
9/1/96,0.40948
10/1/96,0.60227
11/1/96,0.42601
12/1/96,0.51203
1/1/97,0.60425
2/1/97,0.4232
3/1/97,0.37173
4/1/97,0.09351
5/1/97,0.01649
6/1/97,0.62269
7/1/97,0.99378
8/1/97,0.68844
9/1/97,0.26311
10/1/97,0.64266
11/1/97,0.41506
12/1/97,0.5476
1/1/98,-0.03865
2/1/98,0.59579
3/1/98,0.46298
4/1/98,0.65736
5/1/98,0.86039
6/1/98,0.57898
7/1/98,0.31166
8/1/98,0.59423
9/1/98,0.68523
10/1/98,0.55652
11/1/98,0.27672
12/1/98,0.91598
1/1/99,0.03954
2/1/99,0.47588
3/1/99,0.50969
4/1/99,1.03214
5/1/99,0.4761
6/1/99,0.45457
7/1/99,0.43972
8/1/99,0.71639
9/1/99,0.82668
10/1/99,0.36527
11/1/99,0.55919
12/1/99,1.56573
1/1/00,-0.052
2/1/00,1.29145
3/1/00,0.99853
4/1/00,-0.21987
5/1/00,0.54714
6/1/00,0.54118
7/1/00,0.29953
8/1/00,0.51744
9/1/00,1.23252
