DATE,PCEPI_PCH
2/1/04,0.23498
3/1/04,0.16506
4/1/04,0.1815
5/1/04,0.32659
6/1/04,0.28869
7/1/04,0.09951
8/1/04,0.05562
9/1/04,0.19871
10/1/04,0.4285
11/1/04,0.38318
12/1/04,0.05035
1/1/05,0.12874
2/1/05,0.27467
3/1/05,0.28791
4/1/05,0.265
5/1/05,0.04869
6/1/05,0.05677
7/1/05,0.42266
8/1/05,0.40013
9/1/05,0.96016
10/1/05,0.1513
11/1/05,-0.21354
12/1/05,0.00114
1/1/06,0.48719
2/1/06,0.04984
3/1/06,0.16983
4/1/06,0.42612
5/1/06,0.24761
6/1/06,0.24138
7/1/06,0.35392
8/1/06,0.31696
9/1/06,-0.2659
10/1/06,-0.24318
11/1/06,0.0369
12/1/06,0.36664
1/1/07,0.35639
2/1/07,0.31628
3/1/07,0.35511
4/1/07,0.21055
5/1/07,0.27941
6/1/07,0.21062
7/1/07,0.16092
8/1/07,0.06448
9/1/07,0.37463
10/1/07,0.284
11/1/07,0.52082
12/1/07,0.22992
1/1/08,0.26601
2/1/08,0.21052
3/1/08,0.30976
4/1/08,0.21157
5/1/08,0.4489
6/1/08,0.71121
7/1/08,0.43109
8/1/08,-0.08501
9/1/08,0.10819
10/1/08,-0.60856
11/1/08,-1.14434
12/1/08,-0.53821
1/1/09,0.0365
2/1/09,0.20392
3/1/09,-0.08462
4/1/09,0.15866
5/1/09,0.12201
6/1/09,0.59222
7/1/09,0.00638
8/1/09,0.28904
9/1/09,0.16741
10/1/09,0.38398
11/1/09,0.24869
12/1/09,0.04205
1/1/10,0.20068
2/1/10,-0.01573
3/1/10,0.1227
4/1/10,0.04085
5/1/10,0.02094
6/1/10,-0.05548
7/1/10,0.08589
8/1/10,0.13395
9/1/10,0.09301
10/1/10,0.29653
11/1/10,0.18843
12/1/10,0.22652
1/1/11,0.32968
2/1/11,0.28933
3/1/11,0.4039
4/1/11,0.41869
5/1/11,0.30556
6/1/11,-0.01732
7/1/11,0.18342
8/1/11,0.24309
9/1/11,0.14611
10/1/11,0.00608
11/1/11,0.20566
12/1/11,0.05763
1/1/12,0.35871
2/1/12,0.23762
3/1/12,0.18181
4/1/12,0.13636
5/1/12,-0.11815
6/1/12,-0.05413
7/1/12,0.03711
8/1/12,0.33287
9/1/12,0.30778
10/1/12,0.29289
11/1/12,-0.06655
12/1/12,-0.00994
1/1/13,0.18589
2/1/13,0.36415
3/1/13,-0.13248
4/1/13,-0.07425
5/1/13,0.06539
6/1/13,0.21781
7/1/13,0.12349
8/1/13,0.14997
9/1/13,0.04138
10/1/13,0.16347
11/1/13,0.15141
12/1/13,0.19634
1/1/14,0.18518
2/1/14,0.05281
3/1/14,0.19647
4/1/14,0.18437
5/1/14,0.16359
6/1/14,0.10694
7/1/14,0.14761
8/1/14,-0.01745
9/1/14,0.02134
10/1/14,-0.02812
11/1/14,-0.07953
12/1/14,-0.16404
1/1/15,-0.48127
2/1/15,0.15729
3/1/15,0.22728
4/1/15,0.05061
5/1/15,0.25388
6/1/15,0.20667
7/1/15,0.10845
8/1/15,0.0029
9/1/15,-0.15185
10/1/15,0.00097
11/1/15,0.05618
12/1/15,-0.06196
1/1/16,0.05522
2/1/16,-0.0668
3/1/16,0.16179
4/1/16,0.32597
5/1/16,0.17547
6/1/16,0.19249
7/1/16,0.09125
8/1/16,0.15739
9/1/16,0.10253
10/1/16,0.22782
11/1/16,0.04202
12/1/16,0.21384
1/1/17,0.34294
2/1/17,0.07974
3/1/17,-0.10529
4/1/17,0.22505
5/1/17,0.01326
6/1/17,0.11368
7/1/17,0.07381
8/1/17,0.2241
9/1/17,0.3302
10/1/17,0.18148
11/1/17,0.18867
12/1/17,0.17145
1/1/18,0.28151
2/1/18,0.18653
3/1/18,0.12288
4/1/18,0.19525
5/1/18,0.23384
6/1/18,0.15275
7/1/18,0.15807
8/1/18,0.03415
9/1/18,0.09779
10/1/18,0.19724
11/1/18,0.06071
12/1/18,0.04964
1/1/19,-0.08362
2/1/19,0.08828
3/1/19,0.21041
4/1/19,0.27965
5/1/19,0.13258
6/1/19,0.12053
